L'année,Nom du site,Province,Latitude,Longitude,Nom de la rivière,Zone de pêche,ONGC,Température moyenne de l'air à l'arrivée,Température moyenne de l'eau sur le rivage,Profondeur moyenne de l'eau (m),Durée totale de fonctionnement (h),Nom commun en anglais,Nom commun en français,Nom scientifique,ITIS TSN,Spécimens mesurés,Longueur moyenne (mm),Type de longueur
2010,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,12.272,11.541,,3488.0,Sea Lamprey,lamproie marine,Petromyzon marinus,159722,159,,fork
2010,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,12.272,11.541,,3488.0,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,55,,fork
2010,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,12.272,11.541,,3488.0,three-spined stickleback,épinoche à trois épines,Gasterosteus aculeatus,166365,3,,fork
2010,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,12.272,11.541,,3488.0,White sucker,meunier noir,Catostomus commersoni,553273,16,400.500,fork
2011,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.881,8.581,,4107.0,American eel,anguille d'Amérique,Anguilla rostrata,161127,2,351.000,total
2011,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.881,8.581,,4107.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,3514,88.480,fork
2011,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.881,8.581,,4107.0,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,45,,fork
2011,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.881,8.581,,4107.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,14,100.786,fork
2011,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.881,8.581,,4107.0,Finescale dace,ventre citron,Chrosomus neogaeus,163594,8,,fork
2011,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.881,8.581,,4107.0,Gaspereau,gaspareau,Alosa,161701,1,273.000,fork
2011,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.881,8.581,,4107.0,Sea Lamprey,lamproie marine,Petromyzon marinus,159722,590,,fork
2011,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.881,8.581,,4107.0,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,1,,fork
2011,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.881,8.581,,4107.0,three-spined stickleback,épinoche à trois épines,Gasterosteus aculeatus,166365,10,,fork
2011,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.881,8.581,,4107.0,White sucker,meunier noir,Catostomus commersoni,553273,9,,fork
2012,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,13.629,10.262,,2608.0,American eel,anguille d'Amérique,Anguilla rostrata,161127,13,428.385,total
2012,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,13.629,10.262,,2608.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,3188,96.178,fork
2012,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,13.629,10.262,,2608.0,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,17,,fork
2012,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,13.629,10.262,,2608.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,14,40.143,fork
2012,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,13.629,10.262,,2608.0,Finescale dace,ventre citron,Chrosomus neogaeus,163594,9,,fork
2012,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,13.629,10.262,,2608.0,Gaspereau,gaspareau,Alosa,161701,2,251.000,fork
2012,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,13.629,10.262,,2608.0,Sea Lamprey,lamproie marine,Petromyzon marinus,159722,169,,fork
2012,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,13.629,10.262,,2608.0,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,13,,fork
2012,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,13.629,10.262,,2608.0,three-spined stickleback,épinoche à trois épines,Gasterosteus aculeatus,166365,11,,fork
2012,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,13.629,10.262,,2608.0,White sucker,meunier noir,Catostomus commersoni,553273,9,,fork
2013,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,8.828,7.467,,2655.0,American eel,anguille d'Amérique,Anguilla rostrata,161127,4,553.333,total
2013,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,8.828,7.467,,2655.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,4342,87.642,fork
2013,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,8.828,7.467,,2655.0,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,16,,fork
2013,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,8.828,7.467,,2655.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,3,136.333,fork
2013,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,8.828,7.467,,2655.0,Sea Lamprey,lamproie marine,Petromyzon marinus,159722,190,,fork
2013,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,8.828,7.467,,2655.0,White sucker,meunier noir,Catostomus commersoni,553273,1,,fork
2014,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,13.316,10.500,,2601.0,American eel,anguille d'Amérique,Anguilla rostrata,161127,7,380.714,total
2014,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,13.316,10.500,,2601.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,2032,82.666,fork
2014,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,13.316,10.500,,2601.0,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,35,,fork
2014,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,13.316,10.500,,2601.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,17,64.647,fork
2014,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,13.316,10.500,,2601.0,Finescale dace,ventre citron,Chrosomus neogaeus,163594,68,,fork
