sampleID,Year,eventDate,recordedBy,decimalLatitude,decimalLongitude,occurrenceStatus,color
r21:2930,2021,2021-07-07,DFO Gulf,46.55547,-66.84771,Not detected,green
r21:2945,2021,2021-07-07,DFO Gulf,46.51053,-67.1137,Not detected,green
r21:2940,2021,2021-07-07,DFO Gulf,46.49828,-67.0485,Inconclusive,grey
r21:2934,2021,2021-07-07,DFO Gulf,46.54391,-66.85485,Inconclusive,grey
r21:2946,2021,2021-07-07,DFO Gulf,46.51053,-67.1137,Not detected,green
r21:2933,2021,2021-07-07,DFO Gulf,46.54391,-66.85485,Not detected,green
r21:2941,2021,2021-07-07,DFO Gulf,46.49828,-67.0485,Not detected,green
r21:2932,2021,2021-07-07,DFO Gulf,46.54391,-66.85485,Not detected,green
r21:2926,2021,2021-07-07,DFO Gulf,46.56257,-66.832,Not detected,green
r21:2925,2021,2021-07-07,DFO Gulf,46.56257,-66.832,Not detected,green
r21:2942,2021,2021-07-07,DFO Gulf,46.49828,-67.0485,Not detected,green
r21:2944,2021,2021-07-07,DFO Gulf,46.51053,-67.1137,Not detected,green
r21:3069,2021,2021-07-19,DFO Gulf,46.5797,-66.75891,Not detected,green
r21:3090,2021,2021-07-19,DFO Gulf,46.49976,-66.95794,Suspected,orange
r21:3070,2021,2021-07-19,DFO Gulf,46.5797,-66.75891,Not detected,green
r21:3085,2021,2021-07-19,DFO Gulf,46.50753,-66.94977,Suspected,orange
r21:3084,2021,2021-07-19,DFO Gulf,46.50753,-66.94977,Suspected,orange
r21:3088,2021,2021-07-19,DFO Gulf,46.49976,-66.95794,Inconclusive,grey
r21:3066,2021,2021-07-19,DFO Gulf,46.58102,-66.75007,Inconclusive,grey
r21:3083,2021,2021-07-19,DFO Gulf,46.50753,-66.94977,Inconclusive,grey
r21:3082,2021,2021-07-19,DFO Gulf,46.50981,-67.08282,Not detected,green
r21:3089,2021,2021-07-19,DFO Gulf,46.49976,-66.95794,Inconclusive,grey
r21:3064,2021,2021-07-19,DFO Gulf,46.58102,-66.75007,Not detected,green
r21:3065,2021,2021-07-19,DFO Gulf,46.58102,-66.75007,Not detected,green
