river_rivière,age_âge,year_année,latitude_latitude,longitude_longitude,n_n,mean fork length_longueur moyenne à la fourche
Nashwaak River,2,1994,46.117667,-66.589062,63,766.7460317
Northeast River,1,1994,47.270081,-53.837846,13,537.5384615
Rocky River,1,1994,47.225684,-53.564593,44,550.9545455
Saint John River,1,1994,45.95542,-66.607509,218,593.853211
Saint John River,2,1994,45.95542,-66.607509,399,776.716792
Sand Hill River,1,1994,53.581429,-56.35112,156,556.224359
Sand Hill River,2,1994,53.581429,-56.35112,16,779.5
Terra Nova River,1,1994,48.66762,-54.002506,188,535.6861702
Torrent River,1,1994,50.612932,-57.168795,20,537.3
Western Arm Brook,1,1994,51.190752,-56.753424,105,540.5904762
Conne River,1,1995,47.868005,-55.705978,111,498.009009
Exploits River,1,1995,49.088976,-55.354689,112,536.6517857
Gander River,1,1995,49.260019,-54.499243,69,522.2463768
Harry's River,1,1995,48.507227,-58.506807,116,506.7758621
LaHave River,1,1995,44.53333,-64.71667,179,533.3463687
LaHave River,2,1995,44.53333,-64.71667,124,709.6854839
Middle Brook,1,1995,48.794529,-54.291912,77,510.7922078
Miramichi River,1,1995,46.93316907,-65.65078752,613,547.0391517
Miramichi River,2,1995,46.93316907,-65.65078752,1448,752.1208564
Nashwaak River,1,1995,46.117667,-66.589062,94,601.4468085
Nashwaak River,2,1995,46.117667,-66.589062,62,756.0322581
Northeast River,1,1995,47.270081,-53.837846,31,536.7741935
Rocky River,1,1995,47.225684,-53.564593,85,544.8
Saint John River,1,1995,45.95542,-66.607509,475,571.5578947
Saint John River,2,1995,45.95542,-66.607509,441,777.755102
Sand Hill River,1,1995,53.581429,-56.35112,147,557.8707483
Sand Hill River,2,1995,53.581429,-56.35112,24,747.4166667
Terra Nova River,1,1995,48.66762,-54.002506,283,514.6360424
Torrent River,1,1995,50.612932,-57.168795,17,539.3529412
Western Arm Brook,1,1995,51.190752,-56.753424,97,544.8969072
Conne River,1,1996,47.868005,-55.705978,72,518.2222222
Exploits River,1,1996,49.088976,-55.354689,88,541.3863636
Gander River,1,1996,49.260019,-54.499243,97,546.556701
Harry's River,1,1996,48.507227,-58.506807,56,512.9464286
LaHave River,1,1996,44.53333,-64.71667,187,551.1764706
LaHave River,2,1996,44.53333,-64.71667,84,718.2142857
Middle Brook,1,1996,48.794529,-54.291912,58,532.1206897
Miramichi River,1,1996,46.93316907,-65.65078752,583,549.7512864
Miramichi River,2,1996,46.93316907,-65.65078752,676,748.2366864
Nashwaak River,1,1996,46.117667,-66.589062,132,596.0454545
Nashwaak River,2,1996,46.117667,-66.589062,77,769.5324675
Northeast River,1,1996,47.270081,-53.837846,49,549.6122449
Rocky River,1,1996,47.225684,-53.564593,15,542.5333333
Saint John River,1,1996,45.95542,-66.607509,167,578.0838323
Saint John River,2,1996,45.95542,-66.607509,429,777.9487179
Sand Hill River,1,1996,53.581429,-56.35112,166,562.1686747
Terra Nova River,1,1996,48.66762,-54.002506,101,533.6336634
Torrent River,1,1996,50.612932,-57.168795,34,539.1176471
Western Arm Brook,1,1996,51.190752,-56.753424,77,551.3896104
Conne River,1,1997,47.868005,-55.705978,635,525.3433071
Gander River,1,1997,49.260019,-54.499243,29,544.5517241
