River_name__nom_de_la_rivière,Site_name__nom_du_site,Latitude__latitude,Longitude__longitude,Arrival_date__date_d_arrivée,Departure_date__date_de_départ,Time_released__date_de_libération,Operating_condition_display__affichage_état_de_fonctionnement,Rpm_arrival__rpm_arrivée,Rpm_departure__rpm_départ,Air_temp_arrival__temp_air_arrivée,Water_temp_trap_c__temp_eau_piège_c,Relative_water_level_m__niveau_d_eau_relatif_m,Species__espèces,Status__statut,Life_stage__stade_de_vie,Adipose_condition_display,Total_length__longueur_totale,Fork_length__longueur_à_la_fourche,Weight__poid,Sex__sexe,Age__âge,Age_type__âge_type,Tag_number__numéro_d_étiquette,Sample_id__numéro_d_identification_de_l_échantillon,Specimen_id__numéro_d_identification_du_spécimen
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-07 11:37:00+00:00,2022-05-07 12:10:00+00:00,,fully operational,10.0,10.0,4.0,5.0,,Gaspereau,"Released, unsampled",,,,,,,,,,4114,654757
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-07 11:37:00+00:00,2022-05-07 12:10:00+00:00,,fully operational,10.0,10.0,4.0,5.0,,Gaspereau,"Released, unsampled",,,,,,,,,,4114,654758
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-07 11:37:00+00:00,2022-05-07 12:10:00+00:00,,fully operational,10.0,10.0,4.0,5.0,,Brook trout,"Released, sampled",,,,278.0,,,,,,4114,654759
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-07 11:37:00+00:00,2022-05-07 12:10:00+00:00,,fully operational,10.0,10.0,4.0,5.0,,Brown trout,"Released, sampled",,,,110.0,,,,,,4114,654760
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-08 11:27:00+00:00,2022-05-08 11:53:00+00:00,,fully operational,10.0,10.0,2.0,4.0,,Atlantic salmon,"Released, sampled",smolt,Present,,135.0,,,,,,4115,654761
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-08 11:27:00+00:00,2022-05-08 11:53:00+00:00,,fully operational,10.0,10.0,2.0,4.0,,Atlantic salmon,"Released, sampled",smolt,Present,,125.0,,,,,,4115,654762
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-08 11:27:00+00:00,2022-05-08 11:53:00+00:00,,fully operational,10.0,10.0,2.0,4.0,,Atlantic salmon,"Released, sampled",smolt,Present,,131.0,,,,,,4115,654763
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-08 11:27:00+00:00,2022-05-08 11:53:00+00:00,,fully operational,10.0,10.0,2.0,4.0,,Atlantic salmon,"Released, sampled",smolt,Present,,117.0,,,,,,4115,654764
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-08 11:27:00+00:00,2022-05-08 11:53:00+00:00,,fully operational,10.0,10.0,2.0,4.0,,Atlantic salmon,"Released, sampled",smolt,Present,,128.0,,,,,,4115,654765
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-08 11:27:00+00:00,2022-05-08 11:53:00+00:00,,fully operational,10.0,10.0,2.0,4.0,,Atlantic salmon,"Released, sampled",smolt,Present,,110.0,,,,,,4115,654766
